tbl,col,type,rows,non_null,null_pct
sys_auth_mfa_policies,created_by,uuid,2,0,100.0
sys_auth_mfa_policies,updated_at,timestamp with time zone,2,2,0.0
sys_auth_mfa_policies,updated_by,uuid,2,0,100.0
sys_auth_password_reset_tokens,auth_password_reset_token_id,uuid,411,411,0.0
sys_auth_password_reset_tokens,auth_password_reset_user_id,uuid,411,411,0.0
sys_auth_password_reset_tokens,auth_password_reset_token_hash,character,411,411,0.0
sys_auth_password_reset_tokens,auth_password_reset_expires_at,timestamp with time zone,411,411,0.0
sys_auth_password_reset_tokens,auth_password_reset_used_at,timestamp with time zone,411,0,100.0
sys_auth_password_reset_tokens,auth_password_reset_requester_ip,inet,411,411,0.0
sys_auth_password_reset_tokens,created_at,timestamp with time zone,411,411,0.0
sys_auth_permissions,auth_permission_id,uuid,154,154,0.0
sys_auth_permissions,auth_permission_code,character varying,154,154,0.0
sys_auth_permissions,auth_permission_name,character varying,154,154,0.0
sys_auth_permissions,auth_permission_resource,character varying,154,154,0.0
sys_auth_permissions,auth_permission_action,character varying,154,154,0.0
sys_auth_permissions,auth_permission_description,text,154,1,99.4
sys_auth_permissions,created_at,timestamp with time zone,154,154,0.0
sys_auth_refresh_tokens,auth_refresh_token_id,uuid,47594,47594,0.0
sys_auth_refresh_tokens,auth_refresh_token_user_id,uuid,47594,47594,0.0
sys_auth_refresh_tokens,auth_refresh_token_tenant_id,uuid,47594,47594,0.0
sys_auth_refresh_tokens,auth_refresh_token_family_id,uuid,47594,47594,0.0
sys_auth_refresh_tokens,auth_refresh_token_previous_id,uuid,47594,330,99.3
sys_auth_refresh_tokens,auth_refresh_token_hash,character,47594,47594,0.0
sys_auth_refresh_tokens,auth_refresh_token_issued_at,timestamp with time zone,47594,47594,0.0
sys_auth_refresh_tokens,auth_refresh_token_expires_at,timestamp with time zone,47594,47594,0.0
sys_auth_refresh_tokens,auth_refresh_token_used_at,timestamp with time zone,47594,330,99.3
sys_auth_refresh_tokens,auth_refresh_token_revoked_at,timestamp with time zone,47594,262,99.4
sys_auth_refresh_tokens,auth_refresh_token_revoke_reason,character varying,47594,262,99.4
sys_auth_refresh_tokens,auth_refresh_token_ip,inet,47594,47594,0.0
sys_auth_refresh_tokens,auth_refresh_token_user_agent,text,47594,47594,0.0
sys_auth_role_permissions,auth_role_id,uuid,681,681,0.0
sys_auth_role_permissions,auth_permission_id,uuid,681,681,0.0
sys_auth_role_permissions,granted_at,timestamp with time zone,681,681,0.0
sys_auth_roles,auth_role_id,uuid,12,12,0.0
sys_auth_roles,auth_role_code,character varying,12,12,0.0
sys_auth_roles,auth_role_name,character varying,12,12,0.0
sys_auth_roles,auth_role_description,text,12,12,0.0
sys_auth_roles,auth_role_is_platform,boolean,12,12,0.0
sys_auth_roles,created_at,timestamp with time zone,12,12,0.0
sys_auth_roles,auth_role_category,character varying,12,12,0.0
sys_behavioral_assessments,behavioral_assessment_id,uuid,465,465,0.0
sys_behavioral_assessments,behavioral_assessment_tenant_id,uuid,465,465,0.0
sys_behavioral_assessments,behavioral_assessment_user_id,uuid,465,465,0.0
sys_behavioral_assessments,behavioral_assessment_competency,character varying,465,465,0.0
sys_behavioral_assessments,behavioral_assessment_score,numeric,465,465,0.0
sys_behavioral_assessments,behavioral_assessment_evidence_payload,jsonb,465,465,0.0
sys_behavioral_assessments,behavioral_assessment_recorded_at,timestamp with time zone,465,465,0.0
sys_behavioral_assessments,created_at,timestamp with time zone,465,465,0.0
sys_blueprint_families,blueprint_family_id,uuid,1,1,0.0
sys_blueprint_families,blueprint_family_code,character varying,1,1,0.0
sys_blueprint_families,blueprint_family_name,character varying,1,1,0.0
sys_blueprint_families,blueprint_family_description,text,1,1,0.0
sys_blueprint_families,blueprint_family_metadata,jsonb,1,1,0.0
sys_blueprint_families,created_at,timestamp with time zone,1,1,0.0
sys_blueprint_families,updated_at,timestamp with time zone,1,1,0.0
sys_blueprint_process_registry,blueprint_process_id,uuid,23,23,0.0
sys_blueprint_process_registry,blueprint_process_variant_id,uuid,23,23,0.0
sys_blueprint_process_registry,blueprint_process_code,character varying,23,23,0.0
sys_blueprint_process_registry,blueprint_process_name,character varying,23,23,0.0
sys_blueprint_process_registry,blueprint_process_ordinal,smallint,23,23,0.0
sys_blueprint_process_registry,blueprint_process_description,text,23,0,100.0
sys_blueprint_process_registry,blueprint_process_is_optional,boolean,23,23,0.0
sys_blueprint_process_registry,blueprint_process_metadata,jsonb,23,23,0.0
sys_blueprint_process_registry,created_at,timestamp with time zone,23,23,0.0
sys_blueprint_process_registry,updated_at,timestamp with time zone,23,23,0.0
sys_blueprint_variants,blueprint_variant_id,uuid,1,1,0.0
sys_blueprint_variants,blueprint_variant_family_id,uuid,1,1,0.0
sys_blueprint_variants,blueprint_variant_code,character varying,1,1,0.0
sys_blueprint_variants,blueprint_variant_name,character varying,1,1,0.0
sys_blueprint_variants,blueprint_variant_description,text,1,0,100.0
sys_blueprint_variants,blueprint_variant_size_band_id,uuid,1,1,0.0
