schema,tbl,rows
sys,sys_job_families,27
sys,sys_job_role_embeddings,136
sys,sys_job_roles,136
sys,sys_kpi_assessment_methods,5
sys,sys_kpi_assessment_results,248
sys,sys_kpi_definitions,243
sys,sys_kpi_measurements,248
sys,sys_kpi_metric_definitions,243
sys,sys_kpi_targets,248
sys,sys_kpi_weighting_rules,3
sys,sys_leads,0
sys,sys_learning_gaps,270
sys,sys_learning_modules,7427
sys,sys_learning_path_steps,124
sys,sys_learning_paths,4667
sys,sys_leave_accrual_rules,20
sys,sys_leave_balance_transactions,20
sys,sys_mentor_match_scores,30
sys,sys_mentorship_programs,5
sys,sys_mentorship_sessions,150
sys,sys_mentorships,63
sys,sys_model_predictions,468
sys,sys_notification_preferences,0
sys,sys_objective_reward_rules,6
sys,sys_occupation_skill_requirements,126051
sys,sys_okr_check_ins,25
sys,sys_okr_key_results,20
sys,sys_okrs,20
sys,sys_operating_model_catalog,6
sys,sys_organization_hierarchies,0
sys,sys_organization_unit_history,0
sys,sys_organization_unit_kpi_templates,100
sys,sys_organization_unit_processes,105
sys,sys_organization_unit_templates,225
sys,sys_organization_unit_types,8
sys,sys_organization_units,26
sys,sys_overtime,221
sys,sys_payout_curves,0
sys,sys_payroll_handoff_records,0
sys,sys_performance_review_competency_ratings,465
sys,sys_performance_reviews,161
sys,sys_person_evidence_records,237
sys,sys_position_career_paths,40
sys,sys_position_compensation_profiles,159
sys,sys_position_economic_weight,24
sys,sys_position_kpi_requirements,172
sys,sys_position_learning_requirements,1791
sys,sys_position_skill_requirement_history,0
sys,sys_position_skill_requirements,844
sys,sys_position_succession_relevance,9
sys,sys_positions,162
sys,sys_predictive_models,4
sys,sys_process_kpi_templates,0
sys,sys_pulse_checks,733
sys,sys_readiness_scores,90
sys,sys_reconciliation_registry,115
sys,sys_reward_gate_catalog,7
sys,sys_reward_gate_results,0
sys,sys_reward_gates,0
sys,sys_schema_migrations,151
sys,sys_seed_acquisition_runs,0
sys,sys_seed_approval_decisions,0
sys,sys_seed_candidate_records,0
sys,sys_seed_source_evidence,0
sys,sys_seed_validation_results,0
sys,sys_skill_aliases,80
sys,sys_skill_categories,7
sys,sys_skill_embeddings,21939
sys,sys_skill_families,77
sys,sys_skill_gap_scores,154
sys,sys_skill_learning_mappings,635
sys,sys_skill_proficiency_levels,6
sys,sys_skill_taxonomy_edges,11965
sys,sys_skills,21939
sys,sys_source_lineage_records,70972
sys,sys_succession_pools,17
sys,sys_succession_readiness_scores,462
sys,sys_succession_scores,90
sys,sys_successor_candidates,25
sys,sys_successor_readiness,0
sys,sys_survey_assignments,8
sys,sys_survey_questions,21
sys,sys_survey_responses,3792
sys,sys_survey_templates,2
sys,sys_surveys,8
sys,sys_talent_scores,154
sys,sys_team_members,176
sys,sys_teams,24
sys,sys_tenancies,2
sys,sys_time_off_balances,494
sys,sys_time_off_requests,69
sys,sys_training_initiatives,1
sys,sys_ui_interfaces,47
sys,sys_user_assessment_evidence,1560
sys,sys_user_auth_roles,329
sys,sys_user_career_plans,113
sys,sys_user_certifications,420
sys,sys_user_documents,657
sys,sys_user_education_records,157
sys,sys_user_kpi_evidence,248
sys,sys_user_learning_assignments,1990
sys,sys_user_learning_evidence,1434
sys,sys_user_position_assignments,160
sys,sys_user_preferences,4
sys,sys_user_professional_experiences,0
sys,sys_user_profile_embeddings,156
sys,sys_user_profiles,157
sys,sys_user_skill_evidence,902
sys,sys_user_target_positions,0
sys,sys_users,162
sys,sys_variable_pay_calculations,121
sys,sys_visualization_edges,157
sys,sys_visualization_exports,0
sys,sys_visualization_graphs,1
sys,sys_visualization_layouts,0
sys,sys_visualization_node_layouts,0
sys,sys_visualization_nodes,158
sys,sys_visualization_styles,0
