entity_table,entity_ref,field,locale,text,source
sys_occupation_classifications,ISCO_08:2413,name,en,Financial Analysts,HARVEST
sys_occupation_classifications,ISCO_08:242,name,en,Administration Professionals,HARVEST
sys_occupation_classifications,ISCO_08:2421,name,en,Management and Organization Analysts,HARVEST
sys_occupation_classifications,ISCO_08:2422,name,en,Policy Administration Professionals,HARVEST
sys_occupation_classifications,ISCO_08:2423,name,en,Personnel and Careers Professionals,HARVEST
sys_occupation_classifications,ISCO_08:2424,name,en,Training and Staff Development Professionals,HARVEST
sys_occupation_classifications,ISCO_08:243,name,en,"Sales, Marketing and Public Relations Professionals",HARVEST
sys_occupation_classifications,ISCO_08:2431,name,en,Advertising and Marketing Professionals,HARVEST
sys_occupation_classifications,ISCO_08:2432,name,en,Public Relations Professionals,HARVEST
sys_occupation_classifications,ISCO_08:2433,name,en,Technical and Medical Sales Professionals (excluding ICT),HARVEST
sys_occupation_classifications,ISCO_08:2434,name,en,Information and Communications Technology Sales Professionals,HARVEST
sys_occupation_classifications,ISCO_08:25,name,en,Information and Communications Technology Professionals,HARVEST
sys_occupation_classifications,ISCO_08:251,name,en,Software and Applications Developers and Analysts,HARVEST
sys_occupation_classifications,ISCO_08:2511,name,en,Systems Analysts,HARVEST
sys_occupation_classifications,ISCO_08:2512,name,en,Software Developers,HARVEST
sys_occupation_classifications,ISCO_08:2513,name,en,Web and Multimedia Developers,HARVEST
sys_occupation_classifications,ISCO_08:2514,name,en,Applications Programmers,HARVEST
sys_occupation_classifications,ISCO_08:2519,name,en,Software and Applications Developers and Analysts Not Elsewhere Classified,HARVEST
sys_occupation_classifications,ISCO_08:252,name,en,Database and Network Professionals,HARVEST
sys_occupation_classifications,ISCO_08:2521,name,en,Database Designers and Administrators,HARVEST
sys_occupation_classifications,ISCO_08:2522,name,en,Systems Aministrators,HARVEST
sys_occupation_classifications,ISCO_08:2523,name,en,Computer Network Professionals,HARVEST
sys_occupation_classifications,ISCO_08:2529,name,en,Database and Network Professionals Not Elsewhere Classified,HARVEST
sys_occupation_classifications,ISCO_08:26,name,en,"Legal, Social and Cultural Professionals",HARVEST
sys_occupation_classifications,ISCO_08:261,name,en,Legal Professionals,HARVEST
sys_occupation_classifications,ISCO_08:2611,name,en,Lawyers,HARVEST
sys_occupation_classifications,ISCO_08:2612,name,en,Judges,HARVEST
sys_occupation_classifications,ISCO_08:2619,name,en,Legal Professionals Not Elsewhere Classified,HARVEST
sys_occupation_classifications,ISCO_08:262,name,en,"Librarians, Archivists and Curators",HARVEST
sys_occupation_classifications,ISCO_08:2621,name,en,Archivists and Curators,HARVEST
sys_occupation_classifications,ISCO_08:2622,name,en,Librarians and Related Information Professionals,HARVEST
sys_occupation_classifications,ISCO_08:263,name,en,Social and Religious Professionals,HARVEST
sys_occupation_classifications,ISCO_08:2631,name,en,Economists,HARVEST
sys_occupation_classifications,ISCO_08:2632,name,en,"Sociologists, Anthropologists and Related Professionals",HARVEST
sys_occupation_classifications,ISCO_08:2633,name,en,"Philosophers, Historians and Political Scientists",HARVEST
sys_occupation_classifications,ISCO_08:2634,name,en,Psychologists,HARVEST
sys_occupation_classifications,ISCO_08:2635,name,en,Social Work and Counselling Professionals,HARVEST
sys_occupation_classifications,ISCO_08:2636,name,en,Religious Professionals,HARVEST
sys_occupation_classifications,ISCO_08:264,name,en,"Authors, Journalists and Linguists",HARVEST
sys_occupation_classifications,ISCO_08:2641,name,en,Authors and Related Writers,HARVEST
sys_occupation_classifications,ISCO_08:2642,name,en,Journalists,HARVEST
sys_occupation_classifications,ISCO_08:2643,name,en,"Translators, Interpreters and Other Linguists",HARVEST
sys_occupation_classifications,ISCO_08:265,name,en,Creative and Performing Artists,HARVEST
sys_occupation_classifications,ISCO_08:2651,name,en,Visual Artists,HARVEST
sys_occupation_classifications,ISCO_08:2652,name,en,"Musicians, Singers and Composers",HARVEST
sys_occupation_classifications,ISCO_08:2653,name,en,Dancers and Choreographers,HARVEST
sys_occupation_classifications,ISCO_08:2654,name,en,"Film, Stage and Related Directors and Producers",HARVEST
sys_occupation_classifications,ISCO_08:2655,name,en,Actors,HARVEST
sys_occupation_classifications,ISCO_08:2656,name,en,"Announcers on Radio, Television and Other Media",HARVEST
sys_occupation_classifications,ISCO_08:2659,name,en,Creative and Performing Artists Not Elsewhere Classified,HARVEST
sys_occupation_classifications,ISCO_08:3,name,en,Technicians and Associate Professionals,HARVEST
