scheme,code,parent_code,level,name
ISCO_08,2636,263,4,Specialisti in discipline religiose
ISCO_08,264,26,3,"Specialisti in discipline linguistiche, letterarie e documentali"
ISCO_08,2641,264,4,Scrittori ed assimilati
ISCO_08,2642,264,4,Giornalisti
ISCO_08,2643,264,4,"Traduttori, interpreti e altri linguisti"
ISCO_08,265,26,3,Specialisti in discipline artistico-espressive
ISCO_08,2651,265,4,Specialisti delle arti visive
ISCO_08,2652,265,4,"Musicisti, cantanti e compositori"
ISCO_08,2653,265,4,Ballerini e coreografi
ISCO_08,2654,265,4,"Registi, sceneggiatori, produttori ed assimilati"
ISCO_08,2655,265,4,Attori
ISCO_08,2656,265,4,Annunciatori della radio e della televisione e di altri media
ISCO_08,2659,265,4,Specialisti in discipline artistico-espressive non classificati altrove
ISCO_08,3,,1,Professioni tecniche intermedie
ISCO_08,31,3,2,Professioni tecniche nelle scienze e nell’ingegneria
ISCO_08,311,31,3,Tecnici delle scienze fisiche e ingegneristiche
ISCO_08,3111,311,4,Tecnici delle scienze chimiche e fisiche
ISCO_08,3112,311,4,Tecnici delle costruzioni civili
ISCO_08,3113,311,4,Elettrotecnici
ISCO_08,3114,311,4,Tecnici elettronici
ISCO_08,3115,311,4,Tecnici meccanici
ISCO_08,3116,311,4,Tecnici chimici
ISCO_08,3117,311,4,Tecnici metallurgico-minerari
ISCO_08,3118,311,4,Disegnatori industriali
ISCO_08,3119,311,4,Altri tecnici delle scienze fisiche e ingegneristiche non classificati altrove
ISCO_08,312,31,3,"Supervisori delle attività estrattive, manifatturiere e di costruzione"
ISCO_08,3121,312,4,Supervisori minerari
ISCO_08,3122,312,4,Supervisori delle attività manifatturiere
ISCO_08,3123,312,4,Supervisori edili
ISCO_08,313,31,3,Tecnici del controllo del processo di produzione
ISCO_08,3131,313,4,Conduttori di impianti per la produzione di energia elettrica
ISCO_08,3132,313,4,Conduttori di inceneritori e di impianti del trattamento delle acque
ISCO_08,3133,313,4,Tecnici del controllo di impianti per il trattamento chimico
ISCO_08,3134,313,4,Conduttori di impianti per la raffinazione del petrolio e del gas naturale
ISCO_08,3135,313,4,Tecnici per il controllo del processo di produzione del metallo
ISCO_08,3139,313,4,Tecnici del controllo del processo di produzione non classificati altrove
ISCO_08,314,31,3,Tecnici nelle scienze della vita ed assimilati
ISCO_08,3141,314,4,Tecnici nelle scienze della vita (ad eccezione delle scienze mediche)
ISCO_08,3142,314,4,Tecnici agronomi
ISCO_08,3143,314,4,Tecnici forestali
ISCO_08,315,31,3,Controllori e tecnici del trasporto aereo e navale
ISCO_08,3151,315,4,Ufficiali di macchina navali
ISCO_08,3152,315,4,Ufficiali di bordo e piloti navali
ISCO_08,3153,315,4,Piloti di aeromobili ed assimilati
ISCO_08,3154,315,4,Controllori del traffico aereo
ISCO_08,3155,315,4,Tecnici elettronici addetti alla sicurezza del traffico aereo
ISCO_08,32,3,2,Professioni intermedie nelle scienze della salute
ISCO_08,321,32,3,Tecnici delle scienze mediche e farmaceutiche
ISCO_08,3211,321,4,Tecnici radiologi e di apparecchiature mediche
ISCO_08,3212,321,4,Tecnici di laboratorio medico e patologico
ISCO_08,3213,321,4,Tecnici e assistenti farmaceutici
ISCO_08,3214,321,4,Tecnici protesici e odontotecnici
ISCO_08,322,32,3,Infermieri e ostetrici (livello intermedio)
ISCO_08,3221,322,4,Infermieri (livello intermedio)
ISCO_08,3222,322,4,Ostetrici (livello intermedio)
ISCO_08,323,32,3,Assistenti della medicina tradizionale e complementare
ISCO_08,3230,323,4,Assistenti della medicina tradizionale e complementare
ISCO_08,324,32,3,Tecnici e assistenti veterinari
ISCO_08,3240,324,4,Tecnici e assistenti veterinari
ISCO_08,325,32,3,Altre professioni intermedie nelle scienze della salute
ISCO_08,3251,325,4,Assistenti odontoiatri e igienisti dentali
ISCO_08,3252,325,4,Addetti alle cartelle cliniche e alla documentazione sanitaria
ISCO_08,3253,325,4,Operatori sanitari della comunità
ISCO_08,3254,325,4,Ottici
ISCO_08,3255,325,4,Tecnici e assistenti della riabilitazione
ISCO_08,3256,325,4,Assistenti medici
ISCO_08,3257,325,4,Ispettori e tecnici della medicina ambientale e del lavoro
ISCO_08,3258,325,4,Infermieri di ambulanza
ISCO_08,3259,325,4,Tecnici delle scienze della salute non classificati altrove
ISCO_08,33,3,2,Professioni intermedie nelle attività finanziarie e amministrative
ISCO_08,331,33,3,Tecnici delle attività finanziarie e matematiche
ISCO_08,3311,331,4,Mediatori di borsa e agenti di cambio
ISCO_08,3312,331,4,Operatori crediti e prestiti
ISCO_08,3313,331,4,Contabili (livello intermedio)
