# I-E ri-misura in linea (S1103, 2026-09-15T16:27) — READ ONLY

query per tabella: select count(*) from sys.<t>  ·  select count(*) from sys.<t> b where exists (select 1 from sys.sys_source_lineage_records l where replace(l.source_lineage_target_table_name,'sys.','')='<t>' and l.source_lineage_target_record_id::text = b.<pk>::text)

| tabella | righe (lettore) | righe (in linea) | con provenienza (lettore) | con provenienza (in linea) |
| sys_user_auth_roles | 399 | 399 | 0 | 0 |
| sys_user_bank_details | 156 | 156 | 0 | 0 |
| sys_user_career_plans | 113 | 113 | 0 | 0 |
| sys_user_certifications | 1062 | 1062 | 0 | 0 |
| sys_user_consents | 649 | 649 | 0 | 0 |
| sys_user_contracts | 160 | 160 | 0 | 0 |
| sys_user_delegations | 0 | 0 | 0 | 0 |
| sys_user_demographics | 160 | 160 | 0 | 0 |
| sys_user_documents | 657 | 657 | 0 | 0 |
| sys_user_education_records | 160 | 160 | 0 | 0 |
| sys_user_employment | 160 | 160 | 0 | 0 |
| sys_user_family_members | 150 | 150 | 0 | 0 |
| sys_user_identity_documents | 332 | 332 | 0 | 0 |
| sys_user_kpi_evidence | 248 | 248 | 0 | 0 |
| sys_user_learning_assignments | 3061 | 3061 | 0 | 0 |
| sys_user_learning_evidence | 3882 | 3882 | 0 | 0 |
| sys_user_pay_slips | 5818 | 5818 | 0 | 0 |
| sys_user_position_assignments | 329 | 329 | 0 | 0 |
| sys_user_preferences | 6 | 6 | 0 | 0 |
| sys_user_professional_experiences | 255 | 255 | 0 | 0 |
| sys_user_profile_embeddings | 156 | 156 | 0 | 0 |
| sys_user_profiles | 157 | 157 | 0 | 0 |
| sys_user_skill_evidence | 902 | 902 | 0 | 0 |
| sys_user_skills | 1351 | 1351 | 0 | 0 |
| sys_user_target_positions | 255 | 255 | 0 | 0 |
| sys_user_timeline_events | 2682 | 2682 | 0 | 0 |
| sys_users | 164 | 164 | 162 | 159 |
| sys_valutazione_condivisione_eccezioni | 568 | 568 | 0 | 0 |
| sys_variable_pay_calculations | 182 | 182 | 0 | 0 |
| sys_visualization_edges | 314 | 314 | 0 | 0 |
| sys_visualization_exports | 16 | 16 | 0 | 0 |
| sys_visualization_graphs | 2 | 2 | 0 | 0 |
| sys_visualization_layouts | 2 | 2 | 0 | 0 |
| sys_visualization_node_layouts | 316 | 316 | 0 | 0 |
| sys_visualization_nodes | 316 | 316 | 0 | 0 |
| sys_visualization_styles | 6 | 6 | 0 | 0 |
| sys_whistleblowing_reports | 2 | 2 | 0 | 0 |

tabelle con `righe` discordante lettore/in linea: 0 · con `righe_con_provenienza` discordante: 10 (vince la ri-misura in linea)
